# of threads	Pass 1	Pass 2	Pass 3	Pass 4	Pass 5
1	2.566	1.64	0	0.05	0.05
2	1.594	1.7	0	0.05	0.05
4	0.954	1.688	0	0.06	0.05
8	0.682	1.676	0	0.06	0.05
16	0.63	1.67	0	0.06	0.05
