# of threads	check_consistency	read_dir_block	icount_update	lock_wait
fsck	1.62	9.67	1.04	0.00
2	0.93	10.91	8.69	8.37
4	0.63	10.44	4.71	13.36
8	0.38	8.84	2.78	18.62
16	0.21	6.60	1.65	24.12
