# Pass 1	Pass 2	Pass 3	Pass 4	Pass 5
fsck	1.39	1.23	0.00	0.04	0.03
1	1.15	0.53	0.00	0.04	0.03
2	1.17	0.30	0.00	0.04	0.03
4	1.16	0.26	0.00	0.04	0.03
8	1.32	0.32	0.00	0.04	0.03
16	1.43	0.36	0.00	0.04	0.03
