# 	Pass 1	Pass 2	Pass 3	Pass 4	Pass 5
fsck	16.02	121.78	0.38	5.25	2.18
1	13.77	99.28	0.28	0.47	0.28
2	12.64	96.96	0.50	0.49	0.30
4	12.82	103.31	0.93	0.50	0.31
8	13.79	101.82	1.11	0.51	0.33
16	20.99	102.76	1.75	0.51	0.33
