#	Pass 1	Pass 2	Pass 3	Pass 4	Pass 5
fsck	3.81	27.52	0.06	0.88	0.40
1	2.51	21.70	0.07	0.10	0.06
2	2.50	22.48	0.10	0.10	0.07
4	2.54	22.95	0.20	0.10	0.07
8	2.83	23.07	0.27	0.11	0.07
16	3.33	23.02	0.33	0.11	0.07
