20.582	131.313	0.393	0.77	0.539
25.974	133.265	0.415	0.807	0.579
31.496	132.794	0.423	0.815	0.606
64.963	133.585	0.434	0.845	0.614
67.849	133.704	0.431	0.83	0.62
