# of threads	Pass 1	Pass 2	Pass 3	Pass 4	Pass 5
1	5.144	3.332	0	0.11	0.09
2	3.13	3.39	0	0.11	0.09
4	1.882	3.384	0	0.11	0.09
8	1.368	3.426	0	0.11	0.09
16	1.23	3.396	0	0.11	0.09
