# of threads	Pass 1	Pass 2	Pass 3	Pass 4	Pass 5
1	5.392	29.042	0.07	0.11	0.09
2	3.38	29.266	0.07	0.11	0.09
4	2.078	29.204	0.07	0.11	0.09
8	1.688	29.318	0.07	0.11	0.09
16	1.698	29.006	0.07	0.11	0.09
