# of threads	Pass 1	Pass 2	Pass 3	Pass 4	Pass 5
1	20.412	19.256	0	0.456	0.51
2	12.402	19.464	0	0.46	0.5
4	7.158	19.316	0	0.46	0.492
8	5.484	19.468	0	0.46	0.496
16	5.252	19.348	0	0.464	0.474
