# of threads	Pass 1	Pass 2	Pass 3	Pass 4	Pass 5
1	21.866	123.362	0.27	0.47	0.428
2	13.332	123.136	0.27	0.49	0.45
4	8.444	123.394	0.274	0.49	0.426
8	7.064	124.062	0.272	0.48	0.442
16	7.988	123.316	0.272	0.48	0.428
